rec,val.pm1,val.pm2p5,val.pm10,tag,src
2020-01-10T15:00:00Z,2.9,4.1,14.2,scs-bgx-401,N2
2020-01-10T15:01:00Z,2.4,3.5,8.5,scs-bgx-401,N2
2020-01-10T15:02:00Z,2.2,3.5,27.2,scs-bgx-401,N2
2020-01-10T15:03:00Z,1.9,2.7,5.3,scs-bgx-401,N2
2020-01-10T15:04:00Z,2.4,3.7,19.8,scs-bgx-401,N2
2020-01-10T15:05:00Z,3.2,4.4,11.6,scs-bgx-401,N2
2020-01-10T15:06:00Z,2.3,3.2,7.1,scs-bgx-401,N2
2020-01-10T15:07:00Z,2.5,3.6,7.8,scs-bgx-401,N2
2020-01-10T15:08:00Z,2.0,3.1,8.1,scs-bgx-401,N2
2020-01-10T15:09:00Z,1.8,2.6,4.8,scs-bgx-401,N2
2020-01-10T15:10:00Z,2.0,2.8,6.6,scs-bgx-401,N2
